"watershed","elevation","stem_length","leaf_area","stem_dry_mass"
"Reference","Low",73.4,11.394,0.0217
"Reference","Low",91,12.498,0.0379
"Reference","Low",68.6,10.22,0.0226
"Reference","Low",73.3,6.403,0.0225
"Reference","Low",106.2,6.928,0.0243
"Reference","Low",71.7,2.48,0.0358
"Reference","Low",63.5,5.415,0.0244
"Reference","Mid",90.8,8.221,0.0206
"Reference","Mid",100.5,10.189,0.0248
"Reference","Mid",83.6,10.806,0.0223
"Reference","Mid",77,10.862,0.018
"Reference","Mid",85.7,7.587,0.0222
"Reference","Mid",113.4,9.992,0.0253
"Reference","Mid",104.6,7.644,0.0293
"Reference","Mid",88.2,13.305,0.0214
"Reference","Mid",76,10.226,0.0184
"Reference","Mid",81.6,7.644,0.0192
"Reference","Mid",79.3,13.495,0.0205
"Reference","Mid",71.5,15.926,0.0233
"Reference","Mid",106,9.573,0.0321
"Reference","Mid",71.9,7.458,0.0177
"Reference","Mid",75.1,7.641,0.0206
"Reference","Mid",94,5.008,0.0158
"Reference","Mid",68.6,11.017,0.0254
"Reference","Mid",81.9,7.594,0.0152
"Reference","Mid",97.7,9.068,0.0225
"Reference","Mid",80.9,8.357,0.0199
"Reference","Mid",69.9,8.656,0.0193
"Reference","Mid",63,10.739,0.0194
"Reference","Mid",80.2,8.105,0.0268
"Reference","Mid",66.4,7.672,0.0145
"Reference","Mid",111.3,11.527,0.0265
"Reference","Mid",60,7.011,0.012
"Reference","Mid",78.4,7.277,0.0269
"Reference","Mid",80,7.771,0.0244
"Reference","Mid",67.1,9.759,0.0366
"Reference","Mid",89.5,8.803,0.0383
"Reference","Mid",73.8,6.702,0.0176
"Reference","Mid",106,10.9,0.0279
"Reference","Mid",63.2,12.336,0.0176
"Reference","Mid",69.9,8.037,0.018
"Reference","Mid",56.7,7.542,0.0208
"Reference","Mid",83,4.838,0.0179
"Reference","Mid",85.8,10.485,0.02
"Reference","Mid",74.5,9.391,0.0195
"Reference","Mid",96.8,13.748,0.0364
"Reference","Mid",72.7,9.945,0.0282
"Reference","Mid",77.8,6.952,0.0176
"Reference","Mid",98.4,7.612,0.0178
"Reference","Mid",85.7,6.621,0.0197
"Reference","Mid",100.5,12.073,0.0258
"Reference","Mid",74.3,9.368,0.0234
"Reference","Mid",61.4,5.589,0.0079
"Reference","Mid",76.5,10.693,0.0268
"Reference","Mid",73.9,11.122,0.0157
"Reference","Mid",65.7,6.134,0.0163
"Reference","Mid",68.3,9.898,0.0172
"Reference","Mid",87.5,14.471,0.031
"Reference","Mid",79.7,12.253,0.0224
"Reference","Mid",83.4,7.805,0.0238
"Reference","Mid",94.2,11.616,0.018
"Reference","Mid",104.5,8.428,0.0183
"Reference","Mid",66,7.711,0.0118
"Reference","Mid",70,12.435,0.0288
"Reference","Mid",88.9,10.994,0.0285
"Reference","Mid",70.8,10.145,0.0161
"Reference","Mid",104.6,7.432,0.0184
"W1","Low",98.4,19.185,0.0471
"W1","Low",86.1,15.137,0.0362
"W1","Low",82,19.854,0.038
"W1","Low",66,13.909,0.0263
"W1","Low",110.2,16.794,0.0422
"W1","Low",110.1,17.166,0.0397
"W1","Low",111.3,16.622,0.0405
"W1","Low",98.3,14.986,0.0247
"W1","Low",98.3,26.198,0.0437
"W1","Low",107.2,16.417,0.0342
"W1","Low",94.1,16.948,0.0405
"W1","Low",78.5,16.883,0.0305
"W1","Low",77,15.248,0.0296
"W1","Low",63.9,11.86,0.0223
"W1","Low",77.8,9.404,0.0213
"W1","Low",71.5,9.315,0.0207
"W1","Low",80.4,17.968,0.0279
"W1","Low",92.5,16.476,0.0377
"W1","Low",83.2,12.3,0.0296
"W1","Low",60.5,15.402,0.021
"W1","Low",97,17.098,0.047
"W1","Low",92.4,16.584,0.0357
"W1","Low",94.4,16.543,0.0402
"W1","Low",99.1,14,0.032
"W1","Low",71.3,15.735,0.0318
"W1","Low",79.7,17.936,0.0351
"W1","Low",75.3,15.667,0.0281
"W1","Low",68.4,13.296,0.0257
"W1","Low",85.7,10.554,0.0363
"W1","Low",132.3,9.939,0.043
"W1","Low",76.1,13.022,0.028
"W1","Low",93.3,14.064,0.0367
"W1","Low",101.8,7.983,0.0259
"W1","Low",95,6.488,0.0221
"W1","Low",77,13.538,0.035
"W1","Low",74,16.604,0.0378
"W1","Low",89.8,15.752,0.0351
"W1","Low",73.6,15.414,0.0334
"W1","Low",70.8,12.813,0.0218
"W1","Low",71.8,8.792,0.0211
"W1","Low",73.9,16.788,0.0366
"W1","Low",72.2,16.466,0.0355
"W1","Low",87,14.544,0.045
"W1","Low",73,11.787,0.0239
"W1","Low",91.9,11.657,0.0298
"W1","Low",84.5,16.993,0.0366
"W1","Low",83,16.629,0.047
"W1","Low",71.8,13.058,0.033
"W1","Low",75.4,12.071,0.033
"W1","Low",87.4,12.102,0.0346
"W1","Low",79.4,12.688,0.0276
"W1","Low",80.6,11.665,0.0284
"W1","Low",118,12.39,0.0269
"W1","Low",119.9,11.402,0.0332
"W1","Low",77.9,18.442,0.0674
"W1","Low",110.1,21.685,0.0889
"W1","Low",75,11.017,0.0377
"W1","Low",93.5,18.138,0.0396
"W1","Low",101.1,21.77,0.0631
"W1","Low",94.4,23.194,0.0468
"W1","Mid",88.7,14.989,0.0356
"W1","Mid",85.9,13.463,0.0282
"W1","Mid",93.6,16.441,0.0308
"W1","Mid",89.8,12.55,0.0272
"W1","Mid",82.1,15.058,0.0416
"W1","Mid",66.6,14.258,0.031
"W1","Mid",91.2,19.156,0.0429
"W1","Mid",104.2,17.202,0.0363
"W1","Mid",89.1,21.377,0.0436
"W1","Mid",77.6,12.631,0.0307
"W1","Mid",94.5,16.153,0.0359
"W1","Mid",68.5,10.7,0.0173
"W1","Mid",120.2,16.366,0.0579
"W1","Mid",88.6,12.61,0.0314
"W1","Mid",86.2,19.729,0.0467
"W1","Mid",80.1,16.583,0.0356
"W1","Mid",87.9,26.952,0.0516
"W1","Mid",69.8,13.113,0.021
"W1","Mid",103,21.534,0.0492
"W1","Mid",82.4,13.705,0.0323
"W1","Mid",106.1,13.766,0.0326
"W1","Mid",97.1,14.94,0.031
"W1","Mid",92,10.37,0.0226
"W1","Mid",88.6,8.672,0.0225
"W1","Mid",79.7,11.76,0.0392
"W1","Mid",76.8,12.917,0.0353
"W1","Mid",98.6,9.221,0.0221
"W1","Mid",96.5,11.767,0.0282
"W1","Mid",103.2,13.322,0.0288
"W1","Mid",101.6,12.281,0.033
"W1","Mid",81,21.168,0.0389
"W1","Mid",112.3,16.318,0.0231
"W1","Mid",79.6,12.869,0.0272
"W1","Mid",79.2,10.612,0.0211
"W1","Mid",75.3,9.856,0.0316
"W1","Mid",85.9,11.773,0.0345
"W1","Mid",82,9.909,0.0208
"W1","Mid",94.4,12.169,0.027
"W1","Mid",105,13.514,0.0417
"W1","Mid",112.2,16.415,0.0456
"W1","Mid",82.5,11.273,0.0261
"W1","Mid",88.5,12.51,0.0257
"W1","Mid",61.4,7.966,0.0116
"W1","Mid",87.7,15.716,0.0346
"W1","Mid",104.8,13.133,0.0387
"W1","Mid",109.1,9.444,0.036
"W1","Mid",89,13.677,0.0239
"W1","Mid",97.4,10.361,0.0187
"W1","Mid",67.9,7.465,0.018
"W1","Mid",79,9.516,0.0273
"W1","Mid",80.8,11.871,0.0321
"W1","Mid",85.6,8.91,0.0239
"W1","Mid",90.6,13.098,0.0295
"W1","Mid",74.3,13.748,0.0191
"W1","Mid",104.1,11.556,0.036
"W1","Mid",126.3,11.945,0.0344
"W1","Mid",77.2,10.323,0.024
"W1","Mid",83.1,12.24,0.0286
"W1","Mid",75.9,8.086,0.0253
"W1","Mid",67.9,10.081,0.0256
