"","section","species","weight_g"
"149","CC","Coastal giant salamander",8
"150","CC","Coastal giant salamander",3.3
"151","CC","Coastal giant salamander",13.3
"152","CC","Coastal giant salamander",8
"153","CC","Coastal giant salamander",13.1
"154","CC","Coastal giant salamander",12.1
"155","CC","Coastal giant salamander",41.4
"156","CC","Coastal giant salamander",11
"157","CC","Coastal giant salamander",14.2
"158","CC","Coastal giant salamander",15.2
"159","CC","Coastal giant salamander",1.1
"160","CC","Coastal giant salamander",82.6
"161","CC","Coastal giant salamander",1.4
"162","CC","Coastal giant salamander",4.5
"163","CC","Coastal giant salamander",3.9
"164","CC","Coastal giant salamander",3.2
"165","CC","Coastal giant salamander",2.9
"166","CC","Coastal giant salamander",1.7
"167","CC","Coastal giant salamander",6
"168","CC","Coastal giant salamander",7.1
"169","CC","Coastal giant salamander",6.1
"170","CC","Coastal giant salamander",4.3
"171","CC","Coastal giant salamander",6.3
"172","CC","Coastal giant salamander",1.5
"173","CC","Coastal giant salamander",5.8
"174","CC","Coastal giant salamander",9.1
"175","CC","Coastal giant salamander",12.1
"176","CC","Coastal giant salamander",12
"177","CC","Coastal giant salamander",40.3
"178","CC","Coastal giant salamander",83.8
"179","CC","Coastal giant salamander",1.3
"180","CC","Coastal giant salamander",2.1
"181","CC","Coastal giant salamander",2
"182","CC","Coastal giant salamander",6
"183","CC","Coastal giant salamander",7.6
"184","CC","Coastal giant salamander",14.8
"185","OG","Coastal giant salamander",2.3
"186","OG","Coastal giant salamander",1.3
"187","OG","Coastal giant salamander",8.7
"188","OG","Coastal giant salamander",13
"189","OG","Coastal giant salamander",10.8
"190","OG","Coastal giant salamander",83.5
"191","OG","Coastal giant salamander",3.3
"192","OG","Coastal giant salamander",10.7
"193","OG","Coastal giant salamander",1.2
"194","OG","Coastal giant salamander",12.1
"195","OG","Coastal giant salamander",11.5
"196","OG","Coastal giant salamander",3
"197","OG","Coastal giant salamander",2.8
"198","OG","Coastal giant salamander",6.1
"199","OG","Coastal giant salamander",1.9
"200","OG","Coastal giant salamander",4
"201","OG","Coastal giant salamander",1.8
"202","OG","Coastal giant salamander",2.6
"203","OG","Coastal giant salamander",1.9
"204","OG","Coastal giant salamander",5.7
"205","OG","Coastal giant salamander",13.4
"206","OG","Coastal giant salamander",6.5
"207","OG","Coastal giant salamander",16.7
"208","OG","Coastal giant salamander",13.7
"209","OG","Coastal giant salamander",10.3
"210","OG","Coastal giant salamander",5.9
"211","OG","Coastal giant salamander",21
"212","OG","Coastal giant salamander",11.1
"213","OG","Coastal giant salamander",3.1
"214","OG","Coastal giant salamander",8.3
"215","OG","Coastal giant salamander",8.7
"216","OG","Coastal giant salamander",8.6
"217","OG","Coastal giant salamander",117.8
"218","OG","Coastal giant salamander",3.8
"219","OG","Coastal giant salamander",2.3
"220","OG","Coastal giant salamander",1.3
"221","OG","Coastal giant salamander",5.2
"222","OG","Coastal giant salamander",11.5
"223","OG","Coastal giant salamander",0.9
"224","OG","Coastal giant salamander",2.3
"225","OG","Coastal giant salamander",3.2
"226","OG","Coastal giant salamander",5
"227","OG","Coastal giant salamander",2
"228","OG","Coastal giant salamander",2.5
"229","OG","Coastal giant salamander",3.8
"230","OG","Coastal giant salamander",3.8
"231","OG","Coastal giant salamander",3.2
"232","OG","Coastal giant salamander",1.6
"233","OG","Coastal giant salamander",0.9
"234","OG","Coastal giant salamander",5.4
"235","OG","Coastal giant salamander",5.5
"236","OG","Coastal giant salamander",9.2
"237","OG","Coastal giant salamander",11.9
"238","OG","Coastal giant salamander",11.6
"239","OG","Coastal giant salamander",9.3
"240","OG","Coastal giant salamander",3.6
"241","OG","Coastal giant salamander",2.3
"242","OG","Coastal giant salamander",0.9
"243","OG","Coastal giant salamander",3.3
"244","OG","Coastal giant salamander",2.8
"245","OG","Coastal giant salamander",7.3
"246","OG","Coastal giant salamander",8.1
"247","OG","Coastal giant salamander",7.6
"248","OG","Coastal giant salamander",14.8
"249","OG","Coastal giant salamander",10.6
"250","OG","Coastal giant salamander",0.8
"251","OG","Coastal giant salamander",1.1
"252","OG","Coastal giant salamander",1
"253","OG","Coastal giant salamander",9.5
"254","OG","Coastal giant salamander",1.8
"255","OG","Coastal giant salamander",1.8
"256","OG","Coastal giant salamander",2.8
"257","OG","Coastal giant salamander",2.5
"258","OG","Coastal giant salamander",4.5
"259","OG","Coastal giant salamander",1.5
"260","OG","Coastal giant salamander",1
"261","OG","Coastal giant salamander",2.4
"262","OG","Coastal giant salamander",5.5
"263","OG","Coastal giant salamander",6.7
"264","OG","Coastal giant salamander",8.4
"265","OG","Coastal giant salamander",8.5
"266","OG","Coastal giant salamander",10.2
"267","OG","Coastal giant salamander",9.5
"268","OG","Coastal giant salamander",2.5
"269","OG","Coastal giant salamander",5.8
"270","OG","Coastal giant salamander",2
"271","OG","Coastal giant salamander",1.7
"272","OG","Coastal giant salamander",1.5
"273","OG","Coastal giant salamander",3.7
"274","OG","Coastal giant salamander",1.9
"275","OG","Coastal giant salamander",12.1
"276","OG","Coastal giant salamander",2.5
"277","OG","Coastal giant salamander",7.4
"278","OG","Coastal giant salamander",11.7
"279","OG","Coastal giant salamander",10.1
"280","OG","Coastal giant salamander",7.5
"281","OG","Coastal giant salamander",5.9
"282","OG","Coastal giant salamander",55.2
"283","OG","Coastal giant salamander",90.2
"284","OG","Coastal giant salamander",1.6
"285","OG","Coastal giant salamander",1
"286","OG","Coastal giant salamander",3.8
"287","OG","Coastal giant salamander",2.8
"288","OG","Coastal giant salamander",1.9
"289","OG","Coastal giant salamander",1.8
"290","OG","Coastal giant salamander",5.1
"291","OG","Coastal giant salamander",10
"292","OG","Coastal giant salamander",11.1
"293","OG","Coastal giant salamander",1.5
"294","OG","Coastal giant salamander",1.2
"295","OG","Coastal giant salamander",0.6
"296","OG","Coastal giant salamander",3.2
"297","OG","Coastal giant salamander",2.1
"298","OG","Coastal giant salamander",5.2
"299","OG","Coastal giant salamander",7.2
"300","OG","Coastal giant salamander",2.9
"301","OG","Coastal giant salamander",6.2
"302","OG","Coastal giant salamander",1.4
"303","OG","Coastal giant salamander",2.7
"304","OG","Coastal giant salamander",2.6
"305","OG","Coastal giant salamander",6.8
"306","OG","Coastal giant salamander",6.5
"307","OG","Coastal giant salamander",7.2
"308","OG","Coastal giant salamander",10.4
"309","OG","Coastal giant salamander",11.5
"310","OG","Coastal giant salamander",4.9
"311","OG","Coastal giant salamander",10
"312","OG","Coastal giant salamander",4.9
"313","OG","Coastal giant salamander",50
"314","OG","Coastal giant salamander",3.4
"315","OG","Coastal giant salamander",4.9
"316","OG","Coastal giant salamander",1.8
"317","OG","Coastal giant salamander",4
"318","OG","Coastal giant salamander",11.9
"319","OG","Coastal giant salamander",11.6
"320","OG","Coastal giant salamander",10.5
"321","OG","Coastal giant salamander",11.4
"322","OG","Coastal giant salamander",9
"323","OG","Coastal giant salamander",2.1
"324","OG","Coastal giant salamander",3.4
"325","OG","Coastal giant salamander",5.3
"326","OG","Coastal giant salamander",6.6
"327","OG","Coastal giant salamander",3.5
"328","OG","Coastal giant salamander",3.3
"329","OG","Coastal giant salamander",5.7
"330","OG","Coastal giant salamander",2.9
"331","OG","Coastal giant salamander",2.2
"332","OG","Coastal giant salamander",1.3
"333","OG","Coastal giant salamander",2.4
"334","OG","Coastal giant salamander",1.6
"335","OG","Coastal giant salamander",6
"336","OG","Coastal giant salamander",7.1
"337","OG","Coastal giant salamander",12.3
"338","OG","Coastal giant salamander",16.7
"339","OG","Coastal giant salamander",10.1
"340","OG","Coastal giant salamander",7.9
"341","OG","Coastal giant salamander",9.5
"342","OG","Coastal giant salamander",14.9
"343","OG","Coastal giant salamander",6.5
"344","OG","Coastal giant salamander",4.4
"345","OG","Coastal giant salamander",80.4
"346","OG","Coastal giant salamander",0.9
"347","OG","Coastal giant salamander",4.9
"348","OG","Coastal giant salamander",21.1
"349","OG","Coastal giant salamander",1.2
"350","OG","Coastal giant salamander",1
"351","OG","Coastal giant salamander",12.2
"352","OG","Coastal giant salamander",10.5
"353","OG","Coastal giant salamander",11.2
"354","OG","Coastal giant salamander",2.5
"355","OG","Coastal giant salamander",3
"356","OG","Coastal giant salamander",2.4
"357","OG","Coastal giant salamander",1.9
"358","OG","Coastal giant salamander",1.8
"359","OG","Coastal giant salamander",0.7
"360","OG","Coastal giant salamander",2.5
"361","OG","Coastal giant salamander",4
"362","OG","Coastal giant salamander",0.5
"363","OG","Coastal giant salamander",0.6
"364","OG","Coastal giant salamander",1.6
"365","OG","Coastal giant salamander",1.6
"366","OG","Coastal giant salamander",5
"367","OG","Coastal giant salamander",5.3
"368","OG","Coastal giant salamander",6.4
"369","OG","Coastal giant salamander",7.9
"370","OG","Coastal giant salamander",8.7
"371","OG","Coastal giant salamander",9.6
"372","OG","Coastal giant salamander",14.3
"373","OG","Coastal giant salamander",11.6
